Benchmark: leibniz, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: leibniz, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: n_root, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: n_root, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: newton, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: newton, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: euler, Optimization: liveness_dce, Percentage Decrease: 0.05%
Benchmark: euler, Optimization: const_then_live_dce, Percentage Decrease: 0.16%
Benchmark: riemann, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: riemann, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: mandelbrot, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: mandelbrot, Optimization: const_then_live_dce, Percentage Decrease: 0.01%
Benchmark: norm, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: norm, Optimization: const_then_live_dce, Percentage Decrease: 0.20%
Benchmark: cordic, Optimization: liveness_dce, Percentage Decrease: 0.19%
Benchmark: cordic, Optimization: const_then_live_dce, Percentage Decrease: 4.26%
Benchmark: pow, Optimization: liveness_dce, Percentage Decrease: 5.56%
Benchmark: pow, Optimization: const_then_live_dce, Percentage Decrease: 19.44%
Benchmark: sqrt, Optimization: liveness_dce, Percentage Decrease: 0.31%
Benchmark: sqrt, Optimization: const_then_live_dce, Percentage Decrease: 2.48%
Benchmark: dead-branch, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: dead-branch, Optimization: const_then_live_dce, Percentage Decrease: 0.17%
Benchmark: quickselect, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: quickselect, Optimization: const_then_live_dce, Percentage Decrease: 0.36%
Benchmark: sieve, Optimization: liveness_dce, Percentage Decrease: 0.80%
Benchmark: sieve, Optimization: const_then_live_dce, Percentage Decrease: 0.86%
Benchmark: bubblesort, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: bubblesort, Optimization: const_then_live_dce, Percentage Decrease: 0.40%
Benchmark: primitive-root, Optimization: liveness_dce, Percentage Decrease: 0.05%
Benchmark: primitive-root, Optimization: const_then_live_dce, Percentage Decrease: 0.05%
Benchmark: adler32, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: adler32, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: adj2csr, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: adj2csr, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: csrmv, Optimization: liveness_dce, Percentage Decrease: 0.45%
Benchmark: csrmv, Optimization: const_then_live_dce, Percentage Decrease: 0.45%
Benchmark: dot-product, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: dot-product, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: major-elm, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: major-elm, Optimization: const_then_live_dce, Percentage Decrease: 2.13%
Benchmark: max-subarray, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: max-subarray, Optimization: const_then_live_dce, Percentage Decrease: 0.52%
Benchmark: mat-mul, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: mat-mul, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: fib, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: fib, Optimization: const_then_live_dce, Percentage Decrease: 0.83%
Benchmark: vsmul, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: vsmul, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: quicksort-hoare, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: quicksort-hoare, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: quicksort, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: quicksort, Optimization: const_then_live_dce, Percentage Decrease: 0.76%
Benchmark: two-sum, Optimization: liveness_dce, Percentage Decrease: 10.20%
Benchmark: two-sum, Optimization: const_then_live_dce, Percentage Decrease: 11.22%
Benchmark: eight-queens, Optimization: liveness_dce, Percentage Decrease: 4.65%
Benchmark: eight-queens, Optimization: const_then_live_dce, Percentage Decrease: 6.21%
Benchmark: binary-search, Optimization: liveness_dce, Percentage Decrease: 3.85%
Benchmark: binary-search, Optimization: const_then_live_dce, Percentage Decrease: 8.97%

Average percentage decrease per optimization:
Optimization: liveness_dce, Average Percentage Decrease: 0.60%
Optimization: const_then_live_dce, Average Percentage Decrease: 1.40%
